Date,Store_ID,Product_ID,Category,Units_Sold,Price_Per_Unit,Total_Sales
2022-12-28,329,808,Electronics,2,482.1,964.2
2022-07-30,789,641,Beauty,9,36.18,325.62
2019-11-10,346,614,Beauty,7,98.02,686.14
2019-06-23,228,178,Imported Fashion,15,482.37,7235.55
2021-11-29,251,753,Watches,18,339.83,6116.94
2021-03-06,49,302,Watches,16,126.92,2030.72
2019-11-07,63,328,Watches,11,477.14,5248.54
2019-08-14,552,611,Watches,17,347.33,5904.61
2021-04-10,154,754,Electronics,16,472.97,7567.52
2019-07-18,635,915,Owned Brand Fashion,11,247.62,2723.82
2023-09-12,54,626,Electronics,16,387.22,6195.52
2021-12-28,18,975,Imported Fashion,9,235.79,2122.11
2020-07-07,436,826,Electronics,8,406.07,3248.56
2023-03-20,755,817,Electronics,8,277.54,2220.32
2019-01-03,77,933,Imported Fashion,17,108.15,1838.55
2023-12-18,88,793,Watches,13,175.84,2285.92
2020-04-29,368,391,Watches,4,401.5,1606.0
2019-01-01,546,270,Imported Fashion,8,285.09,2280.72
2021-12-14,488,746,Beauty,12,193.35,2320.2
2023-09-15,553,445,Beauty,8,153.27,1226.16
2019-07-03,664,869,Owned Brand Fashion,10,414.34,4143.4
2023-06-05,37,560,Watches,6,160.99,965.94
2019-02-02,481,274,Watches,6,147.83,886.98
2020-08-20,315,869,Beauty,12,337.87,4054.44
2019-01-19,677,527,Imported Fashion,6,325.81,1954.86
2021-06-01,555,766,Imported Fashion,2,344.84,689.68
2023-06-10,288,788,Watches,5,251.46,1257.3
2022-09-21,678,765,Watches,5,382.67,1913.35
2021-06-27,339,848,Watches,1,465.55,465.55
2022-09-06,463,565,Beauty,16,223.51,3576.16
2023-05-06,525,262,Owned Brand Fashion,5,253.48,1267.4
2023-04-12,419,761,Imported Fashion,16,28.27,452.32
2020-12-17,381,776,Watches,10,484.52,4845.2
2021-01-10,146,234,Imported Fashion,6,431.58,2589.48
2022-06-09,447,649,Owned Brand Fashion,10,228.33,2283.3
2022-07-02,447,124,Watches,16,488.68,7818.88
2019-10-21,105,608,Watches,15,361.59,5423.85
2023-07-18,297,94,Electronics,14,398.41,5577.74
2019-02-27,399,518,Watches,17,122.08,2075.36
2022-08-28,316,59,Electronics,18,52.8,950.4
2020-07-22,652,537,Imported Fashion,11,348.49,3833.39
2019-04-08,594,841,Imported Fashion,15,209.07,3136.05
2023-07-06,524,943,Electronics,8,480.12,3840.96
2021-06-10,288,612,Electronics,7,335.1,2345.7
2023-11-28,582,139,Watches,6,332.33,1993.98
2019-09-26,279,169,Beauty,18,435.31,7835.58
2021-02-28,475,509,Electronics,5,365.71,1828.55
2022-03-18,256,396,Electronics,6,65.35,392.1
2022-03-21,43,905,Imported Fashion,17,165.43,2812.31
2023-01-17,718,862,Imported Fashion,7,264.64,1852.48
2020-09-28,706,975,Electronics,13,447.52,5817.76
2022-03-15,291,786,Beauty,16,366.95,5871.2
2021-11-03,71,617,Beauty,5,182.76,913.8
2022-05-22,276,605,Imported Fashion,1,9.61,9.61
2022-04-18,633,333,Watches,11,118.16,1299.76
2020-11-11,148,90,Beauty,14,52.89,740.46
2022-03-27,783,147,Imported Fashion,7,211.67,1481.69
2020-12-05,576,9,Imported Fashion,7,172.89,1210.23
2019-12-15,321,75,Watches,2,494.5,989.0
2020-08-18,616,350,Beauty,16,377.07,6033.12
2022-10-14,391,988,Imported Fashion,4,72.38,289.52
2023-04-19,419,250,Imported Fashion,11,219.83,2418.13
2020-02-06,447,619,Beauty,10,353.37,3533.7
2021-05-09,5,82,Beauty,4,74.7,298.8
2019-07-14,291,638,Beauty,17,387.3,6584.1
2020-02-25,281,798,Imported Fashion,14,398.75,5582.5
2020-01-07,588,184,Imported Fashion,7,127.62,893.34
2022-09-04,736,480,Beauty,2,44.97,89.94
2020-06-22,528,395,Owned Brand Fashion,2,246.81,493.62
2020-10-17,235,372,Electronics,3,205.31,615.93
2023-04-07,499,503,Beauty,10,483.92,4839.2
2023-12-13,622,225,Beauty,15,291.13,4366.95
2022-08-13,364,740,Beauty,2,38.87,77.74
2022-04-07,454,559,Imported Fashion,13,402.58,5233.54
2022-06-15,223,473,Beauty,4,322.82,1291.28
2021-10-10,303,701,Watches,13,116.33,1512.29
2022-06-22,419,362,Imported Fashion,3,380.35,1141.05
2023-12-02,438,91,Owned Brand Fashion,16,225.16,3602.56
2019-05-09,123,480,Owned Brand Fashion,3,235.44,706.32
2022-11-17,710,332,Beauty,13,331.08,4304.04
2023-09-06,16,640,Watches,19,386.73,7347.87
2019-07-07,294,540,Electronics,6,20.58,123.48
2019-08-10,582,424,Watches,3,244.84,734.52
2020-10-25,536,227,Owned Brand Fashion,11,216.59,2382.49
2019-05-03,595,247,Imported Fashion,14,303.27,4245.78
2023-07-31,772,302,Watches,4,485.9,1943.6
2022-01-05,553,96,Imported Fashion,1,294.04,294.04
2023-11-20,60,436,Beauty,8,138.33,1106.64
2019-12-09,783,147,Watches,11,322.65,3549.15
2020-02-22,210,399,Electronics,11,196.6,2162.6
2022-07-01,349,873,Imported Fashion,13,144.39,1877.07
2021-01-10,46,697,Watches,18,81.27,1462.86
2019-03-10,531,926,Watches,8,26.07,208.56
2019-04-05,163,699,Imported Fashion,7,97.39,681.73
2023-05-02,659,412,Beauty,7,71.15,498.05
2019-01-05,572,416,Electronics,8,79.14,633.12
2020-12-10,352,207,Electronics,18,177.16,3188.88
2022-02-22,152,317,Beauty,4,438.4,1753.6
2019-11-25,571,163,Beauty,7,293.41,2053.87
2020-02-20,136,27,Owned Brand Fashion,18,394.42,7099.56
2019-09-24,306,311,Imported Fashion,2,493.44,986.88
2019-02-18,568,368,Watches,10,132.06,1320.6
2021-12-01,757,852,Watches,18,460.01,8280.18
2019-02-16,697,543,Imported Fashion,7,317.15,2220.05
2019-07-23,11,434,Watches,9,327.37,2946.33
2021-06-01,405,586,Beauty,1,409.51,409.51
2021-07-26,614,931,Beauty,18,124.18,2235.24
2023-11-13,741,910,Beauty,15,42.85,642.75
2019-01-09,783,977,Imported Fashion,12,313.74,3764.88
2022-01-18,637,860,Watches,14,481.11,6735.54
2021-10-13,710,10,Beauty,6,209.17,1255.02
2023-07-29,385,397,Electronics,15,371.67,5575.05
2019-09-28,101,922,Electronics,12,222.93,2675.16
2023-01-10,390,356,Electronics,8,441.1,3528.8
2021-03-29,17,251,Imported Fashion,1,320.87,320.87
2019-03-23,201,982,Imported Fashion,2,330.11,660.22
2021-10-09,57,599,Owned Brand Fashion,16,265.58,4249.28
2022-08-17,652,291,Electronics,5,52.18,260.9
2023-11-04,201,156,Beauty,17,130.58,2219.86
2021-01-04,724,361,Owned Brand Fashion,12,403.96,4847.52
2021-08-20,254,84,Electronics,16,288.2,4611.2
2020-05-22,11,244,Watches,18,338.86,6099.48
2020-05-20,305,148,Owned Brand Fashion,4,424.2,1696.8
2019-08-22,702,642,Electronics,11,367.68,4044.48
2021-08-29,199,425,Imported Fashion,1,319.37,319.37
2019-09-10,443,978,Watches,2,25.95,51.9
2020-06-11,459,835,Owned Brand Fashion,7,455.26,3186.82
2021-11-19,801,875,Owned Brand Fashion,16,360.07,5761.12
2023-04-14,33,634,Electronics,9,399.77,3597.93
2022-04-07,9,481,Owned Brand Fashion,15,470.42,7056.3
2022-07-14,94,41,Imported Fashion,18,282.92,5092.56
2023-12-14,462,215,Owned Brand Fashion,6,193.15,1158.9
2021-12-08,255,712,Beauty,2,26.86,53.72
2022-10-13,804,589,Beauty,2,66.06,132.12
2022-04-19,296,177,Owned Brand Fashion,2,411.04,822.08
2022-06-15,85,371,Beauty,14,150.83,2111.62
2020-06-10,764,114,Watches,15,142.67,2140.05
2020-03-12,57,563,Owned Brand Fashion,9,258.33,2324.97
2022-03-19,218,741,Electronics,14,139.47,1952.58
2023-05-19,793,515,Beauty,12,189.12,2269.44
2022-01-14,547,837,Owned Brand Fashion,9,188.79,1699.11
2021-08-16,692,872,Owned Brand Fashion,1,478.29,478.29
2023-09-04,365,757,Owned Brand Fashion,11,271.43,2985.73
2022-04-21,190,302,Owned Brand Fashion,19,232.44,4416.36
2022-09-05,441,628,Beauty,5,333.36,1666.8
2022-02-24,111,332,Watches,12,237.57,2850.84
2023-12-29,267,53,Electronics,3,396.61,1189.83
2022-11-02,616,25,Electronics,5,17.71,88.55
2021-02-26,94,643,Owned Brand Fashion,11,292.47,3217.17
2023-03-06,336,796,Imported Fashion,3,449.77,1349.31
2019-07-15,606,648,Imported Fashion,1,363.05,363.05
2022-10-09,427,611,Watches,16,323.33,5173.28
2020-06-26,593,484,Owned Brand Fashion,6,255.51,1533.06
2021-08-31,499,743,Watches,6,467.08,2802.48
2020-09-24,34,939,Electronics,19,103.24,1961.56
2021-12-05,474,403,Watches,11,435.62,4791.82
2023-10-08,228,478,Beauty,13,58.26,757.38
2022-04-21,270,683,Beauty,8,359.67,2877.36
2021-12-26,771,60,Owned Brand Fashion,11,98.83,1087.13
2020-04-04,276,679,Watches,7,430.63,3014.41
2019-05-21,377,540,Owned Brand Fashion,2,373.06,746.12
2019-09-10,478,387,Electronics,7,261.58,1831.06
2022-11-02,154,694,Watches,2,484.51,969.02
2022-01-03,775,242,Beauty,10,168.16,1681.6
2022-06-01,697,319,Watches,18,384.57,6922.26
